,country,last_update
0,Afghanistan,2006-02-15 09:44:00
1,Algeria,2006-02-15 09:44:00
2,American Samoa,2006-02-15 09:44:00
3,Angola,2006-02-15 09:44:00
4,Anguilla,2006-02-15 09:44:00
5,Argentina,2006-02-15 09:44:00
6,Armenia,2006-02-15 09:44:00
7,Australia,2006-02-15 09:44:00
8,Austria,2006-02-15 09:44:00
9,Azerbaijan,2006-02-15 09:44:00
10,Bahrain,2006-02-15 09:44:00
11,Bangladesh,2006-02-15 09:44:00
12,Belarus,2006-02-15 09:44:00
13,Bolivia,2006-02-15 09:44:00
14,Brazil,2006-02-15 09:44:00
15,Brunei,2006-02-15 09:44:00
16,Bulgaria,2006-02-15 09:44:00
17,Cambodia,2006-02-15 09:44:00
18,Cameroon,2006-02-15 09:44:00
19,Canada,2006-02-15 09:44:00
20,Chad,2006-02-15 09:44:00
21,Chile,2006-02-15 09:44:00
22,China,2006-02-15 09:44:00
23,Colombia,2006-02-15 09:44:00
24,"Congo, The Democratic Republic of the",2006-02-15 09:44:00
25,Czech Republic,2006-02-15 09:44:00
26,Dominican Republic,2006-02-15 09:44:00
27,Ecuador,2006-02-15 09:44:00
28,Egypt,2006-02-15 09:44:00
29,Estonia,2006-02-15 09:44:00
30,Ethiopia,2006-02-15 09:44:00
31,Faroe Islands,2006-02-15 09:44:00
32,Finland,2006-02-15 09:44:00
33,France,2006-02-15 09:44:00
34,French Guiana,2006-02-15 09:44:00
35,French Polynesia,2006-02-15 09:44:00
36,Gambia,2006-02-15 09:44:00
37,Germany,2006-02-15 09:44:00
38,Greece,2006-02-15 09:44:00
39,Greenland,2006-02-15 09:44:00
40,Holy See (Vatican City State),2006-02-15 09:44:00
41,Hong Kong,2006-02-15 09:44:00
42,Hungary,2006-02-15 09:44:00
43,India,2006-02-15 09:44:00
44,Indonesia,2006-02-15 09:44:00
45,Iran,2006-02-15 09:44:00
46,Iraq,2006-02-15 09:44:00
47,Israel,2006-02-15 09:44:00
48,Italy,2006-02-15 09:44:00
49,Japan,2006-02-15 09:44:00
50,Kazakstan,2006-02-15 09:44:00
51,Kenya,2006-02-15 09:44:00
52,Kuwait,2006-02-15 09:44:00
53,Latvia,2006-02-15 09:44:00
54,Liechtenstein,2006-02-15 09:44:00
55,Lithuania,2006-02-15 09:44:00
56,Madagascar,2006-02-15 09:44:00
57,Malawi,2006-02-15 09:44:00
58,Malaysia,2006-02-15 09:44:00
59,Mexico,2006-02-15 09:44:00
60,Moldova,2006-02-15 09:44:00
61,Morocco,2006-02-15 09:44:00
62,Mozambique,2006-02-15 09:44:00
63,Myanmar,2006-02-15 09:44:00
64,Nauru,2006-02-15 09:44:00
65,Nepal,2006-02-15 09:44:00
66,Netherlands,2006-02-15 09:44:00
67,New Zealand,2006-02-15 09:44:00
68,Nigeria,2006-02-15 09:44:00
69,North Korea,2006-02-15 09:44:00
70,Oman,2006-02-15 09:44:00
71,Pakistan,2006-02-15 09:44:00
72,Paraguay,2006-02-15 09:44:00
73,Peru,2006-02-15 09:44:00
74,Philippines,2006-02-15 09:44:00
75,Poland,2006-02-15 09:44:00
76,Puerto Rico,2006-02-15 09:44:00
77,Romania,2006-02-15 09:44:00
78,Runion,2006-02-15 09:44:00
79,Russian Federation,2006-02-15 09:44:00
80,Saint Vincent and the Grenadines,2006-02-15 09:44:00
81,Saudi Arabia,2006-02-15 09:44:00
82,Senegal,2006-02-15 09:44:00
83,Slovakia,2006-02-15 09:44:00
84,South Africa,2006-02-15 09:44:00
85,South Korea,2006-02-15 09:44:00
86,Spain,2006-02-15 09:44:00
87,Sri Lanka,2006-02-15 09:44:00
88,Sudan,2006-02-15 09:44:00
89,Sweden,2006-02-15 09:44:00
90,Switzerland,2006-02-15 09:44:00
91,Taiwan,2006-02-15 09:44:00
92,Tanzania,2006-02-15 09:44:00
93,Thailand,2006-02-15 09:44:00
94,Tonga,2006-02-15 09:44:00
95,Tunisia,2006-02-15 09:44:00
96,Turkey,2006-02-15 09:44:00
97,Turkmenistan,2006-02-15 09:44:00
98,Tuvalu,2006-02-15 09:44:00
99,Ukraine,2006-02-15 09:44:00
100,United Arab Emirates,2006-02-15 09:44:00
101,United Kingdom,2006-02-15 09:44:00
102,United States,2006-02-15 09:44:00
103,Venezuela,2006-02-15 09:44:00
104,Vietnam,2006-02-15 09:44:00
105,"Virgin Islands, U.S.",2006-02-15 09:44:00
106,Yemen,2006-02-15 09:44:00
107,Yugoslavia,2006-02-15 09:44:00
108,Zambia,2006-02-15 09:44:00
